url	refusal_tag	shape_pct	boot
https://123moviesfree.day/	bot-wall-403		clean
https://255md.com/		88.4	clean
https://777juegos.com/		75.6	clean
https://7info.ru/		72.6	3 uncaught
https://a1.ro/		56.2	5 uncaught
https://ab.asimakog.eu.org/	bot-wall-403		clean
https://acesso.pagbank.com.br/	bot-wall-403		clean
https://admin.munchbakery.com/		93.2	clean
https://admin.zoomph.com/		58.8	clean
https://aims.ucc-caloocan.edu.ph/	unreachable		
https://aksesjambi.com/	bot-wall-403		clean
https://alastonsuomi.com/	unreachable		1 uncaught
https://allticketscol.com/	oracle-module-shell-1	0.0	clean
https://altogel.fit/	unreachable		
https://app.levelupxx69.online/	bot-wall-403		clean
https://app.ordertime.com/		100.0	clean
https://atendimentomondial.zendesk.com/	bot-wall-403		clean
https://aternos.org/	bot-wall-403		clean
https://awlyaa.education.dz/	shell-only-6	83.3	clean
https://basescan.org/	bot-wall-403		clean
https://bbs.ruliweb.com/	unreachable		clean
https://beb88run.xyz/		92.9	4 uncaught
https://bhfudbal.ba/	unreachable		
https://bhramarah.in/			
https://bill.pitc.com.pk/	unreachable		
https://booking.directferries.com/	thin-overlap-2	50.0	1 uncaught
https://celeb.gate.cc/		79.7	clean
https://chat.google.com/		88.1	clean
https://cibnext.icici.bank.in/	http-404		clean
https://client.dkitrxmdwoqruvsi.net/	http-404		clean
https://cloud.email.cruzeirodosul.edu.br/	http-404		clean
https://cloud.ssktco-op.com/	unreachable		
https://coinmarketcap.com/		30.0	clean
https://comix.to/	oracle-module-shell-3	33.3	clean
https://creaturecock.com/	unreachable		
https://crm.majoo.id/		59.6	1 uncaught
https://cyoinatu-onna.com/		93.0	clean
https://d2rwkn96gppqo1.cloudfront.net/	render-failed	0.0	6 uncaught
https://dashboard.twitch.tv/	tree-divergence-59	50.0	clean
https://dedebet252.com/	unreachable		
https://desiviral.net/		87.2	clean
https://developers.google.com/		66.8	clean
https://dla7h4u1.com/	bot-wall-200		3 uncaught
https://donate.onenation.org.au/	bot-wall-403		clean
https://e8c76.com/	bot-wall-200		3 uncaught
https://ebanking.bdm-sa.com/	unreachable		
https://esaj.tjsp.jus.br/	shell-only-4	50.0	1 uncaught
https://experiencia.pichincha.com/	tree-divergence-22	0.0	clean
https://fdown.net/	bot-wall-403		clean
https://forums.moneysavingexpert.com/		50.0	1 uncaught
https://fr.bongacams.com/	bot-wall-403		clean
https://fr.download.it/	bot-wall-403		3 uncaught
https://funinjeet.com/	empty-202		clean
https://gismart.com/		81.9	clean
https://gw.geneanet.org/	bot-wall-403		clean
https://haraj.com.sa/	probe-blocked		2 uncaught
https://hipmiluwuutara.org/		23.3	3 uncaught
https://hnhbkis.edu.in/		96.6	clean
https://hope.cap-systems.org/		0.0	clean
https://house.udn.com/	shell-only-1	0.0	clean
https://id.vk.ru/		21.0	1 uncaught
https://ioi-russia.vdi.mipt.ru/		87.8	clean
https://janitorai.com/	bot-wall-403		1 uncaught
https://linkmake.in/		79.7	clean
https://linxonline.co.pierce.wa.us/		45.2	clean
https://littlecaesarsbcs.libellum.com.mx/		97.4	1 uncaught
https://lms12.tvu.ac.ir/	unreachable		
https://lms.sltc.ac.lk/		90.0	clean
https://lp.rsaiben.com/	http-404		clean
https://mangaraw.ac/		70.4	3 uncaught
https://mayatoys.in/		89.3	8 uncaught
https://meet.google.com/		14.9	4 uncaught
https://merchant.upi9.pro/		80.9	clean
https://meuconsultordigital.com.br/		32.6	3 uncaught
https://mexcbt.ed-cl.com/		0.0	clean
https://mirai-compass.net/	http-404		clean
https://missav.live/	bot-wall-403		clean
https://mkp.gem.gov.in/	unreachable		
https://mobcup.fm/		100.0	clean
https://momon-ga.com/		95.1	2 uncaught
https://morikoshi.net/		23.7	1 uncaught
https://mydogcot.com/		68.0	2 uncaught
https://m.youm7.com/		80.7	2 uncaught
https://neutypechic.com/			10 uncaught
https://nitter.net/		95.0	clean
https://nortenoticia.com.br/		42.8	clean
https://nysainfo.pl/		85.5	1 uncaught
https://ofero.id/		0.0	clean
https://oilprice.com/		86.2	clean
https://packages.booking.com/	bot-wall-403		clean
https://pasarbokep.com/		71.4	5 uncaught
https://patrickmorin.com/		54.7	1 uncaught
https://payb.jp/		49.0	5 uncaught
https://people.com/	bot-wall-403		1 uncaught
https://phone.uslowcosthousing.com/	bot-wall-403		clean
https://pivaldi.restoplace.ws/		74.2	1 uncaught
https://pogoda.by/		96.0	clean
https://pordentrodetudo.com.br/		24.0	1 uncaught
https://portagelearning.edu/		33.3	1 uncaught
https://portal.ensuretyfinance.com/		86.4	clean
https://possssno.sbs/		92.3	clean
https://probidas.lt/		36.9	clean
https://profissionaliza.cademi.com.br/		81.8	clean
https://promo.golesliga1max.pe/		76.2	clean
https://pt88.app/		67.4	clean
https://redemoura.gupy.io/		66.1	1 uncaught
https://redinfor.com.pe/		68.4	1 uncaught
https://rockstaractu.com/		90.4	clean
https://rpsc.rajasthan.gov.in/		96.1	clean
https://ru4.bongacams-ru.com/		100.0	clean
https://ru.restaurantguru.com/		73.3	2 uncaught
https://secure5.entertimeonline.com/		69.2	clean
https://secure.paymentech.com/			2 uncaught
https://seduniaselat.com/		89.6	1 uncaught
https://serennu.com/		73.8	clean
https://service.smt.docomo.ne.jp/	unreachable		clean
https://sestra.cc/		91.5	clean
https://simplepdf.com/		89.1	1 uncaught
https://sip777man.site/		92.4	4 uncaught
https://sparkivo.pro/	unreachable		
https://sports.yahoo.com/	tree-divergence-1635	0.0	clean
https://stdn.iau.ir/	bot-wall-403		clean
https://swiftspinus.com/			clean
https://ticket.jfa.jp/		67.0	1 uncaught
https://toyhou.se/	bot-wall-403		clean
https://tracker.shadowfax.in/	tree-divergence-48	0.0	clean
https://tukrd.com/		97.4	clean
https://ubys.bingol.edu.tr/		98.8	clean
https://v8m5e6.com/	bot-wall-200		3 uncaught
https://venus.zeronline.cloud/	probe-blocked		clean
https://videa.hu/			1 uncaught
https://virtual.lapampa.edu.ar/	unreachable		
https://vk.com/	oracle-module-shell-5	40.0	6 uncaught
https://webfenix.movilidadbogota.gov.co/	render-failed	11.1	clean
https://ww1.goojara.to/	probe-blocked		clean
https://www.5movierulz.discount/		79.0	2 uncaught
https://www.aftenbladet.no/		37.7	1 uncaught
https://www.agoda.com/		80.2	2 uncaught
https://www.alphanews.live/	unreachable		2 uncaught
https://www.amazon.com.be/			clean
https://www.amazon.com.mx/	shell-only-2	0.0	clean
https://www.arw.ro/	bot-wall-403		clean
https://www.bilibili.com/		76.6	2 uncaught
https://www.blick.ch/	bot-wall-403		clean
https://www.bolde.com/	bot-wall-403		clean
https://www.broshurko.bg/		40.0	1 uncaught
https://www.cbse.gov.in/		17.5	clean
https://www.crazyshop.pl/		76.1	1 uncaught
https://www.cuneocronaca.it/		29.4	clean
https://www.dapam-sirius.fr/		96.7	clean
https://www.datacareservices.com/		76.4	1 uncaught
https://www.ebay.com/	bot-wall-403		4 uncaught
https://www.fragrantica.com/		78.6	1 uncaught
https://www.freesupertips.com/		78.8	2 uncaught
https://www.friulioggi.it/		46.0	2 uncaught
https://www.hdnails.it/		67.5	3 uncaught
https://www.heart.org/	bot-wall-403		clean
https://www.hemnet.se/	bot-wall-403		clean
https://www.ikea.com/		65.8	1 uncaught
https://www.jatekshop.eu/		76.8	clean
https://www.jazzguitar.be/	bot-wall-403		clean
https://www.kantorsupersam.pl/	unreachable		
https://www.kicktipp.com/		92.7	1 uncaught
https://www.kroftools.com/		62.5	3 uncaught
https://www.kuechenmomente.de/		79.7	clean
https://www.library.chiyoda.tokyo.jp/		87.3	1 uncaught
https://www.livescore.cz/		100.0	clean
https://www.lyreco.com/		76.1	1 uncaught
https://www.mangago.me/	bot-wall-403		1 uncaught
https://www.marktplaats.nl/		97.3	1 uncaught
https://www.mobile.bg/		43.9	clean
https://www.mobile.ir/		83.0	clean
https://www.monopolybingogame.com/		26.7	clean
https://www.mundotoro.com/	bot-wall-403		clean
https://www.naukri.com/		31.2	clean
https://www.nautica.com/	bot-wall-403		4 uncaught
https://www.netvasco.com.br/		52.2	clean
https://www.otomoto.pl/		24.8	clean
https://www.paypal.com/		66.7	2 uncaught
https://www.puentedemando.com/		78.5	2 uncaught
https://www.radec.com.mx/	bot-wall-403		clean
https://www.razaoautomovel.com/		73.0	clean
https://www.repubblica.it/		66.7	1 uncaught
https://www.smecel.com.br/		53.2	clean
https://www.ta3lemkonline.com/		61.3	clean
https://www.taphouse23.com/		17.2	4 uncaught
https://www.timeline.com/		43.3	clean
https://www.trivago.be/	css-starved-1		clean
https://www.trivago.de/		27.4	clean
https://www.trivago.fr/	css-starved-1		clean
https://www.trivago.jp/		11.1	clean
https://www.trivago.pl/	css-starved-1		clean
https://www.tz.de/		84.5	1 uncaught
https://www.unoeste.br/		74.4	clean
https://www.villaggioposeidone.it/	tree-divergence-649	0.0	3 uncaught
https://www.waitaly.net/	bot-wall-403		1 uncaught
https://www.wdimax.com/		97.6	1 uncaught
https://www.woolworths.com.au/	bot-wall-403		3 uncaught
https://xhdesign.today/	probe-blocked		2 uncaught
https://zainascarfs.com/	bot-wall-403		clean
